before;after;;;
dalil2;dalil dalil;;;
dallam;dalam;;;
dapet;dapat;;;
dapetin;dapatkan;;;
darpada;daripada;;;
dasaar;dasar;;;
dasarrr;dasar;;;
dasyat;dahsyat;;;
dateng;datang;;;
datengin;datangkan;;;
dblkang;dibelakang;;;
dblkng;dibelakang;;;
dbnding;dibanding;;;
dbuat;dibuat;;;
dbwh;dibawah;;;
dcintai;dicintai;;;
ddlm;di dalam;;;
ddpat;didapat;;;
ddpt;didapat;;;
de;dek;;;
de;deh;;;
debay;adek bayi;;;
dech;deh;;;
dede;adek;;;
dedek;adek;;;
dedeknya;adeknya;;;
dee;dek;;;
deeek;dek;;;
deeh;deh;;;
deg2an;deg degan;;;
degdegan;berdebar;;;
dehat;sehat;;;
dehh;deh;;;
dehhh;deh;;;
dehhhh;deh;;;
dek;adik;;;
deket;dekat;;;
deketin;dekati;;;
dekk;dek;;;
dekkk;dek;;;
dekt;dekat;;;
demen;suka;;;
demiapasi;demi apa sih;;;
dempga;semoga;;;
deng;deh;;;
dengarin;mendengarkan;;;
dengeeriin;dengarkan;;;
denger;dengar;;;
dengerin;dengarkan;;;
dengernya;dengarnya;;;
dengernyaaa;dengarnya;;;
design;desain;;;
deuhh;duh;;;
dewassa;dewasa;;;
dg;dengan;;;
dgn;dengan;;;
dgr;dengar;;;
dh;deh;;;
dhe;deh;;;
dhi;di;;;
dhpusin;dihapuskan;;;
diaa;dia;;;
diaaa;dia;;;
diaaaa;dia;;;
diajarin;diajari;;;
diajarin;diajari;;;
diakibtkn;diakibatkan;;;
"diam\\""""";diam diam;;;
diamkn;diamkan;;;
dianter;diantar;;;
dianterin;diantar;;;
dianterin;diantarkan;;;
diapa2in;diapa apai;;;
diapain;diapakan;;;
dibagusin;dibaguskan;;;
dibanggain;dibanggakan;;;
dibangga'in;dibangga banggakan;;;
dibiarin;dibiarkan;;;
dibikin2;dibikin bikin;;;
dibkatakan;dikatakan;;;
dibls;dibalas;;;
dibnggain;dibanggakan;;;
dibully;di bully;;;
dicocokin;dicocokkan;;;
didapet;didapat;;;
didatengin;didatangi;;;
didengerin;didengarkan;;;
didiemin;didiamkan;;;
dieee;dia;;;
diem;diam;;;
diemin;diamkan;;;
diemm;diam;;;
diendorse;di endorse;;;
difotoin;difoto;;;
digabtikan;digantikan;;;
digambarin;digambarkan;;;
diginiin;dibeginikan;;;
diginikan;dibeginikan;;;
digituin;dibegitukan;;;
dihargain;dihargai;;;
dihh;dih;;;
dihpus;dihapus;;;
dii;di;;;
diihhhh;dih;;;
diindonesis;diindonesia;;;
diingetin;diingatkan;;;
dijadiin;dijadikan;;;
dijelekin;dijelekkan;;;
dijkt;dijakarta;;;
dijwb;dijawab;;;
dikadoin;dikadokan;;;
dikasi;dikasih;;;
dikata2in;dikata katai;;;
dikatain;dikatai;;;
dikemanain;dikemanakan;;;
dikerasin;dikerasi;;;
dikirimin;dikirimkan;;;
diksi;dikasih;;;
diladenin;diladeni;;;
dilepas2;dilepas lepas;;;
diliat;dilihat;;;
diliatin;dilihati;;;
diliatnya;dilihatnya;;;
dilindungin;dilindungi;;;
diluangin;diluangkan;;;
diluarann;diluaran;;;
"dimana\\""""";dimana mana;;;
dimao;dimau;;;
dimarahin;dimarahi;;;
dimasukin;dimasuki;;;
dimusiumin;dimuseumkan;;;
dinamakn;dinamakan;;;
"dingin\\""""";dingin dingin;;;
dinyanyiin;dinyanyikan;;;
diomongin;diomongkan;;;
dipake;dipakai;;;
dipakein;dipakaikan;;;
dipermainin;dipermainkan;;;
dipikirin;dipikirkan;;;
dipojokin;dipojokkan;;;
dipuja2;dipuja puja;;;
diputusin;diputuskan;;;
direct;langsung;;;
dirimuuu;dirimu;;;
dirmh;dirumah;;;
dirumahny;dirumahnya;;;
disiniii;disini;;;
disni;disini;;;
display;menampilkan;;;
disupirin;disopiri;;;
ditayangin;ditayangkan;;;
ditengah2;ditengah tengah;;;
ditutupin;ditutupi;;;
dituutup;ditutup;;;
diup;di up;;;
diurusin;diurusi;;;
divc;di video call;;;
diwonin;di won kan;;;
dket2in;dekat dekati;;;
dkuburnya;dikuburnya;;;
dl;dulu;;;
dlam;dalam;;;
dlm;dalam;;;
dlu;dulu;;;
dluar;diluar;;;
dm;direct message;;;
dmana;dimana;;;
dmn;dimana;;;
dmna;dimana;;;
dn;dan;;;
dng;dengan;;;
dngan;dengan;;;
dngerin;mendengarkan;;;
dnk;dong;;;
do;di;;;
doa2;doa doa;;;
doaang;doang;;;
doangam;doang;;;
doangg;doang;;;
dobae;sama saja;;;
doeloe;dulu;;;
doi;dia;;;
don;do not;;;
dongg;dong;;;
donggg;dong;;;
dongggg;dong;;;
donggggg;dong;;;
dongsssss;dong;;;
donk;dong;;;
donkk;dong;;;
donks;dong;;;
donx;dong;;;
doong;dong;;;
doonk;dong;;;
dooong;dong;;;
dosa2mu;dosa dosamu;;;
dosaa;dosa;;;
dosaaaaaaaaaa;dosa;;;
dosax;dosanya;;;
dosax;dosanya;;;
doski;dia;;;
dpet;dapat;;;
dpke;dipakai;;;
dpn;depan;;;
dposisi;diposisi;;;
dpotong;dipotong;;;
dpt;dapat;;;
dptkan;dapatkan;;;
dptnya;dapatnya;;;
dr;dari;;;
drakor;drama korea;;;
dramaa;drama;;;
dri;dari;;;
drii;dari;;;
drimana;darimana;;;
drimnanya;darimananya;;;
dripada;daripada;;;
dripda;daripada;;;
drmn;darimana;;;
drpada;daripada;;;
drpd;daripada;;;
dsana;disana;;;
dsar;dasar;;;
dsini;disini;;;
dsna;disana;;;
dsni;disini;;;
dsr;dasar;;;
dsrny;dasarnya;;;
dssi;disisi;;;
dstu;disitu;;;
dsuruh;disuruh;;;
dteng;datang;;;
dteng;datang;;;
dtg;datang;;;
dtggu;ditunggu;;;
dtgkan;datangkan;;;
dtinggl;ditinggal;;;
dtnggu;ditunggu;;;
dtunggu;ditunggu;;;
dua2nya;dua duanya;;;
duanyaa;duanya;;;
duetin;duet;;;
duetin;duet;;;
duh;aduh;;;
duhh;duh;;;
duhh;aduh;;;
duhhh;duh;;;
duhhh;aduh;;;
duhhhhh;duh;;;
duiddddd;uang;;;
duit;uang;;;
duitnya;uangnya;;;
duluan;lebih dulu;;;
dulurrr;dulur;;;
duluu;dulu;;;
duluuu;dulu;;;
dumsss;dong;;;
dung;dong;;;
dunk;dong;;;
dureen;duren;;;
duren;duda keren;;;
durenku;duda keren saya;;;
durhaka2;durhaka durhaka;;;
duuhh;duh;;;
duuhhh;duh;;;
duuhhhhh;duh;;;
duuuhh;duh;;;
duuuhhh;duh;;;
dwh;deh;;;
dwsa;dewasa;;;
dy;dia;;;
dya;dia;;;
ea;ya;;;
eakyu;waktu;;;
ealah;oalah;;;
early;lebih awal;;;
edaaaan;edan;;;
edaaan;edan;;;
edaaann;edan;;;
edan;gila;;;
edannn;edan;;;
edannn;gila;;;
editannn;editan;;;
edun;gila;;;
ee;eh;;;
eeeeh;eh;;;
eeeehhhh;eh;;;
eehhh;eh;;;
eehhh;eh;;;
eey;eh;;;
egk;tidak;;;
ehh;eh;;;
ehhh;eh;;;
eksprsi;ekspresi;;;
elaaaahhhh;alah;;;
elahh;alah;;;
elo;lo;;;
elo2;lo lo;;;
eloo;lo;;;
elu;lu;;;
elus2;elus elus;;;
ema;ibu;;;
emak;ibu;;;
emak2;ibu ibu;;;
emakx;ibunya;;;
emang;memang;;;
emangnya;memangnya;;;
emank;memang;;;
embarassment;rasa malu;;;
emeessss;gemas;;;
emeezzz;gemas;;;
emeshh;gemas;;;
emesshhh;gemas;;;
emessss;gemas;;;
emg;memang;;;
emk;emak;;;
emng;memang;;;
emngnya;memangnya;;;
emnknya;memangnya;;;
enakeun;enak;;;
enakkkkk;enak;;;
endors;endorse;;;
engga;tidak;;;
enggak;tidak;;;
"engga\\""""";tidak tidak;;;
engk;tidak;;;
engk;tidak;;;
enk;enak;;;
entahhh;entah;;;
entr;entar;;;
eobsseo;tidak ada;;;
epe;apa;;;
eps;episode;;;
euy;nih;;;
euyyyyy;euy;;;
eveewhite;everwhite;;;
everyone;semuanya;;;
excited;heboh;;;
exclusivenya;eksklusifnya;;;
exlusive;eksklusif;;;
expect;menduga;;;
expresi;ekspresi;;;
extra;ekstra;;;
eyke;saya;;;
face;wajah;;;
facialwash;facial wash;;;
fak;sialan;;;
fakta2;fakta fakta;;;
fakultass;fakultas;;;
fanmeet;jumpa penggemar;;;
fans;penggemar;;;
fans2;penggemar penggemar;;;
fansnya;penggemarnya;;;
fatanik;fanatik;;;
fav;favorit;;;
favoriteeee;favorit;;;
felito;felicya hito;;;
felicia;felicya;;;
felli;felicya;;;
felly;felicya;;;
fely;felicya;;;
fhoto;foto;;;
fhotonya;fotonya;;;
fi;di;;;
fikiran;pikiran;;;
fiks;fix;;;
fillm;film;;;
filmny;filmnya;;;
films;film;;;
flim.a;filmnya;;;
flm;film;;;
fontnya;font nya;;;
for;untuk;;;
fotbar;foto bareng;;;
"foto\\""""";foto foto;;;
foto2;foto foto;;;
foto2nya;foto fotonya;;;
fotoin;memfoto;;;
fotony;fotonya;;;
free;gratis;;;
freebiesnya;freebies nya;;;
frestasiii;prestasi;;;
ft;feat;;;
fto;foto;;;
fto2;foto foto;;;
fto2;foto foto;;;
g;tidak;;;
ga;tidak;;;
gaa;tidak;;;
gaaa;tidak;;;
gaada;tidak ada;;;
gabakal;tidak bakal;;;
gabisa;tidak bisa;;;
gada;tidak ada;;;
gadaa;tidak ada;;;
gadiss;gadis;;;
gaes;guys;;;
gaet;gait;;;
gag;tidak;;;
gagahx;gagahnya;;;
gagitu;tidak begitu;;;
gaharus;tidak harus;;;
gais;guys;;;
gaje;tidak jelas;;;
gajelas;tidak jelas;;;
gak;tidak;;;
gakk;tidak;;;
gakkk;tidak;;;
gakpapa;tidak apa apa;;;
gaksi;tidak sih;;;
gaksiii;tidak sih;;;
gakuat;tidak kuat;;;
gakurang;tidak kurang;;;
gakusah;tidak usah;;;
gakwad;tidak kuat;;;
gamain;tidak main;;;
gamau;tidak mau;;;
gambarin;gambarkan;;;
gamon;gagal move on;;;
gangguin;mengganggu;;;
gans;ganteng;;;
ganteeeeng;ganteng;;;
ganteng2;ganteng ganteng;;;
gantengg;ganteng;;;
gantenggg;ganteng;;;
gantengkuuuuuu;gantengku;;;
gantengnyaaaa;gantengnya;;;
ganteung;ganteng;;;
gantheng;ganteng;;;
gantiin;menggantikan;;;
ganti'kn;menggantikan;;;
gantng;ganteng;;;
gantweng;ganteng;;;
ganyangka;tidak menyangka;;;
ganyangkaaa;tidak menyangka;;;
gapake;tidak pakai;;;
gapap;tidak apa apa;;;
gapapa;tidak apa apa;;;
gaperna;tidak pernah;;;
gapernah;tidak pernah;;;
gaprgi;tidak pergi;;;
gapunya;tidak punya;;;
gara;karena;;;
gara'';karena;;;
"gara\\""""";karena;;;
gara2;karena;;;
garagara;karena;;;
garemin;garami;;;
garuk2;garuk garuk;;;
gasabar;tidak sabar;;;
gasalah;tidak salah;;;
gasi;tidak sih;;;
gasih;tidak sih;;;
gasss;gas;;;
gasuka;tidak suka;;;
gatau;tidak tahu;;;
gatau;tidak tahu;;;
gataunya;tidak taunya;;;
gausa;tidak usah;;;
gausah;tidak usah;;;
gawl;gaul;;;
gawul;gaul;;;
gayannxa;gayanya;;;
gayany;gayanya;;;
gayax;gayanya;;;
gbs;tidak bisa;;;
gda;tidak ada;;;
gde;gede;;;
ge;juga;;;
gebleg;geblek;;;
gedeg;gedek;;;
geeelaakk;gila;;;
geetoo;begitu;;;
gegara;karena;;;
gegra;karena;;;
geh;gih;;;
gehh;gih;;;
gelaa;gila;;;
gemay;gemas;;;
gemay;gemas;;;
gemeeezzzz;gemas;;;
gemeessss;gemas;;;
gemes;gemas;;;
gemesiin;menggemaskan;;;
gemesin;menggemaskan;;;
gemesinnnnn;menggemaskan;;;
gemesnya;gemasnya;;;
gemess;gemas;;;
gemesshh;gemas;;;
gemesshzzzzhzzhzhzhsjssjs;gemas;;;
gemesss;gemas;;;
gemesyak;gemas ya;;;
gemez;gemas;;;
gemezz;gemas;;;
gemezzzz;gemas;;;
gemmeeezzz;gemas;;;
gemoinya;gemasnya;;;
genduut;gendut;;;
geneeee;begini;;;
genggg;geng;;;
genittt;genit;;;
get;dapat;;;
geuliiiiiiis;geulis;;;
gewlaaaaa;gila;;;
gg;tidak;;;
gga;tidak;;;
gift;hadiah;;;
giitu;begitu;;;
gilaa;gila;;;
gilaaa;gila;;;
gilaaaa;gila;;;
gilaaaaa;gila;;;
gilaaaaaa;gila;;;
gilaaaaaaa;gila;;;
gilaaaakkkkkk;gila;;;
gilaaak;gila;;;
gilak;gila;;;
gilakk;gila;;;
gilakkk;gila;;;
gilakkkkk;gila;;;
gilakkkkkk;gila;;;
gilaseeehhhh;gila sih;;;
gilasih;gila sih;;;
gilasiihhh;gila sih;;;
gilasiii;gila sih;;;
gile;gila;;;
gilee;gila;;;
gileeee;gila;;;
gils;gila;;;
gilsss;gila;;;
gilzz;gila;;;
gimana;bagaimana;;;
gimanaa;bagaimana;;;
gimanaaaa;bagaimana;;;
gimane;bagaimana;;;
gimn;bagaimana;;;
gimna;bagaimana;;;
gingsungny;gingsulnya;;;
gini;begini;;;
ginian;beginian;;;
ginian;beginian;;;
ginian;beginian;;;
ginii;begini;;;
giniii;begini;;;
giniin;beginikan;;;
ginting;ganteng;;;
giti;begitu;;;
gitu;begitu;;;
gitu2;begitu gitu;;;
gituan;begituan;;;
gituh;begitu;;;
gituin;begitukan;;;
gitulah;begitulah;;;
gituu;begitu;;;
gituuu;begitu;;;
gituuuuu;begitu;;;
gk;tidak;;;
gkhianati;mengkhianati;;;
gkk;tidak;;;
gkkan;tidak akan;;;
gkkk;tidak;;;
gksalah;tidak salah;;;
gksi;tidak sih;;;
glembeeeer;gelambir;;;
gmana;bagaimana;;;
gmanapun;bagaimanapun;;;
gmau;tidak mau;;;
gmn;bagaimana;;;
gmna;bagaimana;;;
gmpg;gampang;;;
gn;begini;;;
gndakan;gandakan;;;
gni;begini;;;
gnii;begini;;;
gnti;ganti;;;
gnyngka;tidak menyangka;;;
goblokkk;goblok;;;
gokiiill;gila;;;
gokil;gila;;;
gokill;gila;;;
gokilll;gila;;;
gokillllll;gila;;;
gokilnya;gilanya;;;
goks;gila;;;
goncengin;boncengkan;;;
good;bagus;;;
goooo;go;;;
gosipin;menggosipkan;;;
gossip2.an;gosip gosipan;;;
gossipnya;gosipnya;;;
gpp;tidak apa apa;;;
gr;karena;;;
gr2;karena;;;
gr2;karena;;;
gra2;karena;;;
graaatiiiis;gratis;;;
gratiss;gratis;;;
gratisss;gratis;;;
greged;greget;;;
grgr;karena;;;
grunya;gurunya;;;
gt;begitu;;;
gtau;tidak tahu;;;
gthu;begitu;;;
gtu;begitu;;;
"gtu\\""""";begitu gitu;;;
"gtu\\""an""";begitu gituan;;;
gtu2;begitu gitu;;;
gtuh;begitu;;;
gtuu;begitu;;;
gtw;tidak tahu;;;
gtw;tidak tahu;;;
gua;saya;;;
guaa;saya;;;
guaaaaaaa;saya;;;
guanteng;ganteng;;;
gue;saya;;;
guee;saya;;;
gueee;saya;;;
gueeeee;saya;;;
gunaa;guna;;;
gunain;gunakan;;;
guw;saya;;;
guyss;guys;;;
gw;saya;;;
gws;get well soon;;;
gx;tidak;;;
gya;gaya;;;
haaaah;hah;;;
haah;hah;;;
hadapin;menghadapi;;;
haddeh;aduh;;;
hadeeehhh;aduh;;;
hadeehh;aduh;;;
hadeeuh;aduh;;;
hadehh;aduh;;;
hadeuh;aduh;;;
hadeuuh;aduh;;;
hadeuuhhhh;aduh;;;
hadirr;hadir;;;
hadirrr;hadir;;;
hadirrr;hadir;;;
haduh;aduh;;;
haduuuhh;aduh;;;
haga;harga;;;
haha;tertawa;;;
hahaa;tertawa;;;
hahaha;tertawa;;;
hahahaa;tertawa;;;
hahahah;tertawa;;;
hahahaha;tertawa;;;
hahahahah;tertawa;;;
hahahahahah;tertawa;;;
hahhaha;tertawa;;;
hahh;hah;;;
hahhh;hah;;;
haii;hai;;;
haiii;hai;;;
hal2;hal hal;;;
halahh;alah;;;
halangin;halangi;;;
halllo;halo;;;
hallo;halo;;;
hallooo;halo;;;
halooo;halo;;;
halow;halo;;;
hampasss;hempas;;;
hancurin;menghancurkan;;;
hancurin;menghancurkan;;;
hancuuuuuy;hancur;;;
hanjir;anjir;;;
"happi\\""""";hepi hepi;;;
hapusin;hapuskan;;;
haragain;menghargai;;;
hargs;harga;;;
hari2;hari hari;;;
haritu;hari itu;;;
haru;harus;;;
hasilnyaaa;hasilnya;;;
haslnya;hasilnya;;;
hat;hati;;;
hati.a;hatinya;;;
"hati\\""""";hati hati;;;
hati2;hati hati;;;
hatii;hati;;;
hatiiii;hati;;;
hay;hai;;;
hayal;khayal;;;
hayalanku;khayalanku;;;
hayooo;hayo;;;
hayukk;hayo;;;
hayuu;hayo;;;
hbis;habis;;;
hbs;habis;;;
hd;resolusi tinggi;;;
hdk;hendak;;;
hdp;hidup;;;
hdpn;hadapan;;;
hdpnya;hidupnya;;;
hdup;hidup;;;
he;hey;;;
hebaat;hebat;;;
hebatt;hebat;;;
hectic;sangat sibuk;;;
hedeuuhh;aduh;;;
heeee;hai;;;
heeemmm;hmm;;;
heh;hey;;;
hehe;tertawa;;;
hehh;eh;;;
heii;hai;;;
helloo;halo;;;
hellooooooo;halo;;;
helo;halo;;;
helooooo;halo;;;
help;tolong;;;
hematt;hemat;;;
hempaass;hempas;;;
henbodi;hand body;;;
here;di sini;;;
heyyy;hey;;;
hgga;hingga;;;
hianatin;khianati;;;
hidiyah;hidayah;;;
hiduppp;hidup;;;
hidupppp;hidup;;;
hidupx;hidupnya;;;
hiduupppp;hidup;;;
hightclass;kelas tinggi;;;
hiii;hai;;;
hijaabbb;hijab;;;
hijabb;hijab;;;
hijap;hijab;;;
hijap;hijab;;;
hilangin;menghilangkan;;;
hilangv;hilang;;;
himana;bagaimana;;;
hiraukn;hiraukan;;;
hire;mempekerjakan;;;
hiri;hari;;;
hmpir;hampir;;;
hndak;hendak;;;
hndk;hendak;;;
hngga;hingga;;;
hny;hanya;;;
hnya;hanya;;;
hoalah;oalah;;;
hokiii;hoki;;;
holo;hologram;;;
homemade;buatan sendiri;;;
hopeless;putus asa;;;
hotak;botak;;;
hotx;hotnya;;;
hpus;hapus;;;
hr;hari;;;
hrga;harga;;;
hri;hari;;;
hrs;harus;;;
hrsny;harusny;;;
hrsnya;harusnya;;;
hrus;harus;;;
hrusnya;harusnya;;;
hslnya;hasilnya;;;
ht;hati;;;
huaaa;wah;;;
hub;hubungi;;;
hub;menghubungi;;;
hub;hubungi;;;
hub;hubungan;;;
hubngan;hubungan;;;
hubunggi;hubungi;;;
huhuuu;huhu;;;
hujatann;hujatan;;;
huwaaa;wah;;;
huwaaaaaa;wah;;;
hy;hai;;;
iaa;ya;;;
iaa;iya;;;
ibliss;iblis;;;
ibu2;ibu ibu;;;
ibuk;ibu;;;
ibuk2;ibu ibu;;;
idamann;idaman;;;
idk;i do not know;;;
idol;idola;;;
idolaa;idola;;;
idoolaaa;idola;;;
idung;hidung;;;
idungnya;hidungnya;;;
idup;hidup;;;
idupnya;hidupnya;;;
if;jika;;;
ig;instagram;;;
ignya;instagram nya;;;
igs;instagram story;;;
igtlah;ingatlah;;;
ihh;ih;;;
ihhh;ih;;;
ihhhh;ih;;;
ihhhhh;ih;;;
iih;ih;;;
iihh;ih;;;
iiih;ih;;;
iiihh;ih;;;
iiihhhh;ih;;;
iiihhhhh;ih;;;
iiihhhhh;ih;;;
iiii;ih;;;
iiiihhhhhj;ih;;;
iiiii;ih;;;
iiiiiiiii;ih;;;
iiiiiiiiii;ih;;;
ijap;ijab;;;
ikh;ih;;;
ikh;ih;;;
ikut2;ikut ikut;;;
ikut2an;ikut ikutan;;;
ikutin;mengikuti;;;
ikutin;ikuti;;;
ikutin;mengikuti;;;
ilang;hilang;;;
ilang in;hilangkan;;;
"ilang\\""""";hilang hilang;;;
ilang2;hilang hilang;;;
ilang2;hilang hilang;;;
ilang2an;hilang hilangan;;;
image;kesan;;;
ilmh;ilmu;;;
imoet;imut;;;
improve;memperbarui;;;
imut2;imut imut;;;
imutt;imut;;;
imutttttt;imut;;;
imuttzz;imut;;;
imuutt;imut;;;
imuuttt;imut;;;
in;ini;;;
indahhh;indah;;;
income;pemasukan;;;
indefendet;independen;;;
indo;indonesia;;;
indomi;indomie;;;
indoneaia;indonesia;;;
indonesiaaa;indonesia;;;
indonesiaah;indonesia;;;
influencernya;influencer nya;;;
infpyunnnn;ampun;;;
ingeet;ingat;;;
inget;ingat;;;
ingetin;mengingatkan;;;
inggat;ingat;;;
inggrisny;inggrisnya;;;
inghinn;ingin;;;
ingi;ingin;;;
inginkn;inginkan;;;
inginkn;inginkan;;;
ingt;ingat;;;
inia;ini;;;
iniehh;ini;;;
inih;ini;;;
inihhh;ini;;;
inii;ini;;;
iniii;ini;;;
iniiiii;ini;;;
iniiiiiiiiiiiiiii;ini;;;
iniloh;ini loh;;;
inimah;ini sih;;;
iniw;ini;;;
inni;ini;;;
insonniaaa;insomnia;;;
instastory;instagram story;;;
iooo;lo;;;
iriiiii;iri;;;
iseng2;iseng iseng;;;
ish;ih;;;
isinye;isinya;;;
isokey;is okay;;;
interface;antarmuka;;;
istimewaaa;istimewa;;;
istiqamah;istikamah;;;
istiqomah;istikamah;;;
istiqomahhh;istikamah;;;
it;itu;;;
ithu;itu;;;
ituh;itu;;;
itumahh;itumah;;;
itungan;hitungan;;;
itungannya;hitungannya;;;
ituu;itu;;;
ituuu;itu;;;
ituuuu;itu;;;
ityl;itil;;;
iu;itu;;;
iy;iya;;;
iyaa;iya;;;
iyaaa;iya;;;
iyaaaa;iya;;;
iyaap;iya;;;
iyaappps;iya;;;
iyagasih;iya tidak sih;;;
iyah;iya;;;
iyak;iya;;;
iyap;iya;;;
iyelah;iyalah;;;
iyh;iya;;;
iyha;iya;;;
iyuh;ih;;;
iyuuhhh;ih;;;
iyuuuhhhh;ih;;;
j;saja;;;
ja;saja;;;
jaaangan;jangan;;;
jaadii;jadi;;;
jadii;jadi;;;
jadiin;jadikan;;;
jadiin;menjadikan;;;
jadilh;jadilah;;;
jadu;jadi;;;
jadulnya;jaman dulunya;;;
jafi;jadi;;;
jagain;jaga;;;
jagain;menjaga;;;
jahatin;menjahati;;;
jakety;jaketnya;;;
"jalan\\""nya""";jalan jalannya;;;
jalan2;jalan jalan;;;
jalanani;menjalani;;;
jalanin;menjalani;;;
jamam;jaman;;;
jaman;zaman;;;
jaman2;jaman jaman;;;
jaman2nya;jaman jamannya;;;
jan;jangan;;;
"jangan\\""""";jangan jangan;;;
jangan2;jangan jangan;;;
janjutin;lanjutkan;;;
janka;jangka;;;
jaoooh;jauh;;;
jare;katanya;;;
jari2;jari jari;;;
jatoh;jatuh;;;
jatuhnyaa;jatuhnya;;;
jauhh;jauh;;;
jauhhh;jauh;;;
jauhin;jauhi;;;
jauhjauh;jauh jauh;;;
jauuh;jauh;;;
jauuhhh;jauh;;;
jawabanny;jawabannya;;;
jd;jadi;;;
jdi;jadi;;;
jdiin;jadikan;;;
jdulnya;judulnya;;;
jdwl;jadwal;;;
jd'y;jadinya;;;
"jelas\\""""";jelas jelas;;;
jelas2;jelas jelas;;;
jelase;jelas;;;
jelashh;jelas;;;
jelasssss;jelas;;;
jele;jelek;;;
"jelek\\""in""";menjelek jelekkan;;;
jelek2;jelek jelek;;;
jelekin;menjelekkan;;;
jelex;jelek;;;
jels;jelas;;;
jendes;janda;;;
jendess;janda;;;
jendesss;janda;;;
jendral;jenderal;;;
jeniuss;jenius;;;
jerewi;jerawat;;;
jg;juga;;;
jga;juga;;;
jgan;jangan;;;
jgk;juga;;;
jgn;jangan;;;
jgn2;jangan jangan;;;
jh;saja;;;
jidad;jidat;;;
jilbabny;jilbabnya;;;
jilbabnyaah;jilbabnya;;;
jilbabnye;jilbabnya;;;
jilbb;jilbab;;;
jing;anjing;;;
jinjja;serius;;;
jir;anjir;;;
jirr;anjir;;;
jirrrr;anjir;;;
jjur;jujur;;;
jk;jika;;;
jkrta;jakarta;;;
jkt;jakarta;;;
jlbb;jilbab;;;
jlek;jelek;;;
jln;jalan;;;
jln2;jalan jalan;;;
jls2;jelas jelas;;;
jmnya;jamnya;;;
jmpaaaa;jumpa;;;
jnagn;jangan;;;
jnda;janda;;;
jng;jangan;;;
jngan;jangan;;;
jngn;jangan;;;
jngnn;jangan;;;
jodohny;jodohnya;;;
jodohx;jodohnya;;;
jogetin;berjoget;;;
jombsss;jomblo;;;
jomplang;tidak seimbang;;;
jongkiii;joong ki;;;
joongki;joong ki;;;
joonh;joong;;;
jorokkkk;jorok;;;
jorookknya;joroknya;;;
jrang;jarang;;;
jrnk;jarang;;;
jt;juta;;;
judulnyaa;judulnya;;;
jugaa;juga;;;
jugaaa;juga;;;
jugaaa;juga;;;
jugaakk;juga;;;
jugak;juga;;;
jujurly;sejujurnya;;;
jungkiir;jungkir;;;
juseyo;tolong;;;
just;hanya;;;
justeru;justru;;;
jwab;jawab;;;
jwb;jawab;;;
jwban;jawaban;;;
jyakakaka;tertawa;;;
k;kakak;;;
k;ke;;;
k';kakak;;;
ka;kakak;;;
kaa;kakak;;;
kaaa;kakak;;;
kaaaa;kakak;;;
kaaaaa;kakak;;;
kaaaaaaaaaakkkkkkkkkkk;kakak;;;
kaaaaaann;kakak;;;
kaaaaan;kakak;;;
kaaakk;kakak;;;
kaaan;kakak;;;
kaak;kakak;;;
kaakaaaa;kakak;;;
kaakk;kakak;;;
kaan;kan;;;
kaannnn;kan;;;
kaasian;kasihan;;;
kabulin;kabulkan;;;
kacauuuu;kacau;;;
kacaww;kacau;;;
kacian;kasihan;;;
kaciiaann;kasihan;;;
kae;itu;;;
kafeh;kafe;;;
kaga;kagak;;;
kaga;tidak;;;
kagak;tidak;;;
kageeet;kaget;;;
kageeettt;kaget;;;
kageet;kaget;;;
kagettt;kaget;;;
kagetttt;kaget;;;
kahhh;kah;;;
kaitannha;kaitannya;;;
kaj;kakak;;;
kak;kakak;;;
kaka;kakak;;;
kakakaaaaaaaaaaaaaa;kakak;;;
kakakgh;kakak;;;
kakakkk;kakak;;;
kakakny;kakaknya;;;
kakakuuu;kakak saya;;;
kakanga;kakaknya;;;
kakau;kalau;;;
kakk;kakak;;;
kakk;kakak;;;
kakkk;kakak;;;
kakkkk;kakak;;;
kakkkkk;kakak;;;
kalahnye;kalahnya;;;
kale;kali;;;
kale;kali;;;
kaleee;kali;;;
kaliaan;kalian;;;
kaliann;kalian;;;
kaliannn;kalian;;;
kaliannnnnm;kalian;;;
kaliannnnnn;kalian;;;
kaliannnnnnn;kalian;;;
kalii;kali;;;
kaliii;kali;;;
kaliiii;kali;;;
kaliiiiiii;kali;;;
kaliiin;kalian;;;
kalik;kali;;;
kalli;kali;;;
kallo;kalau;;;
kalo;kalau;;;
kalogak;kalau tidak;;;
kalok;kalau;;;
kalonya;kalaunya;;;
kaloo;kalau;;;
kalu;kalau;;;
kalu;kalau;;;
kalw;kalau;;;
kam;kamu;;;
kamchagiya;kaget;;;
kamiiii;kami;;;
kamjagya;kaget;;;
kamo;kamu;;;
kampungn;kampungan;;;
kamu2;kamu kamu;;;
kamunyaa;kamunya;;;
kamuu;kamu;;;
kamuuuu;kamu;;;
kamyuhhh;kamu;;;
kana;kanan;;;
kanapa;kenapa;;;
kancang;kencang;;;
kangeeeeeeeeeeennnnn;kangen;;;
kangeeeeeeeeennnnnnnn;kangen;;;
kangeeeeeeeenya;kangen;;;
kangeeeeennn;kangen;;;
kangeeeennn;kangen;;;
kangeeeennnnn;kangen;;;
kangeeerrn;kangen;;;
kangeen;kangen;;;
